# tracer: function
#
# entries-in-buffer/entries-written: 739/739   #P:4
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
     kworker/0:0-5760    [000] ...1. 83409.148080: virtqueue_get_buf_ctx_split <-virtqueue_get_buf
     kworker/0:0-5760    [000] ...1. 83409.148081: virtqueue_get_buf <-reclaim_vbufs
     kworker/0:0-5760    [000] ...1. 83409.148081: virtqueue_get_buf_ctx_split <-virtqueue_get_buf
          <idle>-0       [000] d.h1. 83409.148375: irq_handler_entry: irq=28 name=virtio2-virtqueues
          <idle>-0       [000] d.h1. 83409.148376: vp_vring_interrupt <-__handle_irq_event_percpu
          <idle>-0       [000] d.h2. 83409.148376: vring_interrupt <-vp_vring_interrupt
          <idle>-0       [000] d.h2. 83409.148376: vring_interrupt <-vp_vring_interrupt
          <idle>-0       [000] d.h2. 83409.148376: virtio_gpu_ctrl_ack <-vring_interrupt
          <idle>-0       [000] dNh1. 83409.148379: irq_handler_exit: irq=28 ret=handled
     kworker/0:0-5760    [000] ..... 83409.148385: virtio_gpu_dequeue_ctrl_func <-process_one_work
     kworker/0:0-5760    [000] ...1. 83409.148385: virtqueue_get_buf <-reclaim_vbufs
     kworker/0:0-5760    [000] d.h1. 83409.148389: irq_handler_entry: irq=10 name=arch_timer
     kworker/0:0-5760    [000] d.h1. 83409.148398: irq_handler_exit: irq=10 ret=handled
     kworker/0:0-5760    [000] ...1. 83409.148402: virtqueue_get_buf_ctx_split <-virtqueue_get_buf
     kworker/0:0-5760    [000] ...1. 83409.148402: virtqueue_get_buf <-reclaim_vbufs
     kworker/0:0-5760    [000] ...1. 83409.148402: virtqueue_get_buf_ctx_split <-virtqueue_get_buf
          <idle>-0       [001] d.h1. 83409.148408: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [001] d.h1. 83409.148409: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [000] d.h1. 83409.180502: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [000] dNh1. 83409.180514: irq_handler_exit: irq=10 ret=handled
