777:[TRACE] CPU0 idx=236 ts=1391900616 type=0x0710 VIRTGPU_WAIT_COMPLETION_ENTER resource_id<<16|cmd_type=131331
778:[TRACE] CPU0 idx=237 ts=1391900881 type=0xff10 WAIT_TIMEOUT_STAGE stage<<16|tid=14
779:[TRACE] CPU0 idx=238 ts=1391900881 type=0xff11 WAIT_TIMEOUT_SP sp_low32=1411798192
780:[TRACE] CPU0 idx=239 ts=1391900882 type=0xff12 WAIT_TIMEOUT_X30 x30_low32=1075301500
781:[TRACE] CPU0 idx=240 ts=1391900882 type=0xff28 WAIT_TIMEOUT_SLOT20 slot20_low32=1411798204
782:[TRACE] CPU0 idx=241 ts=1391900935 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=917504
790:[TRACE] CPU0 idx=249 ts=1391902632 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=14
792:[TRACE] CPU0 idx=251 ts=1391902633 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=196608
793:[TRACE] CPU0 idx=252 ts=1391902633 type=0xff3a DEFER_REQUEUE_SP sp_low32=1107296064
794:[TRACE] CPU0 idx=253 ts=1391902634 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1074588060
795:[TRACE] CPU0 idx=254 ts=1391902634 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1074588060
796:[TRACE] CPU0 idx=255 ts=1391902634 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=1281
802:[TRACE] CPU0 idx=261 ts=1391902723 type=0x0703 VIRTGPU_Q_COMPLETE used_idx_after<<16|head_desc_idx=1745747968
803:[TRACE] CPU0 idx=262 ts=1391902724 type=0x0711 VIRTGPU_WAIT_COMPLETION_EXIT resource_id<<16|cmd_type=131331
804:[TRACE] CPU0 idx=263 ts=1391902726 type=0x0704 VIRTGPU_RESPONSE resp_type=4352
805:[TRACE] CPU0 idx=264 ts=1391902729 type=0x070c VIRTGPU_FLUSH_ENTER resource_id<<16|helper_id<<8|caller_tag=131078
806:[TRACE] CPU0 idx=265 ts=1391902731 type=0x0700 VIRTGPU_CMD_SUBMIT seq<<16|cmd_type=1745617156
807:[TRACE] CPU0 idx=266 ts=1391902732 type=0x0701 VIRTGPU_CMD_RESOURCE resource_id=2
808:[TRACE] CPU0 idx=267 ts=1391902733 type=0x0702 VIRTGPU_Q_NOTIFY used_idx_before<<16|head_desc_idx=1745747968
809:[TRACE] CPU0 idx=268 ts=1391902733 type=0x0710 VIRTGPU_WAIT_COMPLETION_ENTER resource_id<<16|cmd_type=131332
810:[TRACE] CPU0 idx=269 ts=1391902933 type=0xff10 WAIT_TIMEOUT_STAGE stage<<16|tid=14
811:[TRACE] CPU0 idx=270 ts=1391902933 type=0xff11 WAIT_TIMEOUT_SP sp_low32=1411798160
812:[TRACE] CPU0 idx=271 ts=1391902934 type=0xff12 WAIT_TIMEOUT_X30 x30_low32=1075301500
813:[TRACE] CPU0 idx=272 ts=1391902934 type=0xff28 WAIT_TIMEOUT_SLOT20 slot20_low32=1411798172
814:[TRACE] CPU0 idx=273 ts=1391902985 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=917504
822:[TRACE] CPU0 idx=281 ts=1391911599 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=14
824:[TRACE] CPU0 idx=283 ts=1391911600 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=196608
825:[TRACE] CPU0 idx=284 ts=1391911600 type=0xff3a DEFER_REQUEUE_SP sp_low32=1107296064
826:[TRACE] CPU0 idx=285 ts=1391911604 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1074588060
827:[TRACE] CPU0 idx=286 ts=1391911604 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1074588060
828:[TRACE] CPU0 idx=287 ts=1391911604 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=1281
834:[TRACE] CPU0 idx=293 ts=1391911647 type=0x0703 VIRTGPU_Q_COMPLETE used_idx_after<<16|head_desc_idx=1745813504
835:[TRACE] CPU0 idx=294 ts=1391911647 type=0x0711 VIRTGPU_WAIT_COMPLETION_EXIT resource_id<<16|cmd_type=131332
836:[TRACE] CPU0 idx=295 ts=1391911650 type=0x0704 VIRTGPU_RESPONSE resp_type=4352
837:[TRACE] CPU0 idx=296 ts=1391911651 type=0x070d VIRTGPU_FLUSH_EXIT resource_id<<16|helper_id<<8|caller_tag=131078
838:[TRACE] CPU0 idx=297 ts=1391911659 type=0x070b BWM_COMPOSITE_FRAME_EXIT status=0
840:[TRACE] CPU0 idx=299 ts=1391911889 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=917504
842:[TRACE] CPU0 idx=301 ts=1391911897 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=196622
843:[TRACE] CPU0 idx=302 ts=1391911897 type=0xff3a DEFER_REQUEUE_SP sp_low32=1411801088
844:[TRACE] CPU0 idx=303 ts=1391911897 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1073778948
845:[TRACE] CPU0 idx=304 ts=1391911897 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1073779000
846:[TRACE] CPU0 idx=305 ts=1391911897 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=3074
848:[TRACE] CPU0 idx=307 ts=1391941677 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=65550
849:[TRACE] CPU0 idx=308 ts=1391941678 type=0xff3a DEFER_REQUEUE_SP sp_low32=1411801088
850:[TRACE] CPU0 idx=309 ts=1391941679 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1073778948
851:[TRACE] CPU0 idx=310 ts=1391941679 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1073779000
852:[TRACE] CPU0 idx=311 ts=1391941679 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=3074
855:[TRACE] CPU0 idx=314 ts=1392022726 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=14
857:[TRACE] CPU0 idx=316 ts=1392022727 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=196608
858:[TRACE] CPU0 idx=317 ts=1392022728 type=0xff3a DEFER_REQUEUE_SP sp_low32=1107296064
859:[TRACE] CPU0 idx=318 ts=1392022728 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1074588060
860:[TRACE] CPU0 idx=319 ts=1392022729 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1074588060
