# tracer: nop
#
# entries-in-buffer/entries-written: 1338/1338   #P:2
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
     kworker/0:0-3233    [000] d.h1. 36819.062835: xhci_hub_status_data: port 2-0: 0x00201203 Powered Connected Enabled Link:U0 PortSpeed:4 Change: PRC Wake: 
     kworker/0:0-3233    [000] d.h1. 36819.062838: xhci_hub_status_data: port 2-1: 0x00001203 Powered Connected Enabled Link:U0 PortSpeed:4 Change: Wake: 
     kworker/0:0-3233    [000] d.h1. 36819.062841: xhci_hub_status_data: port 2-2: 0x00001203 Powered Connected Enabled Link:U0 PortSpeed:4 Change: Wake: 
     kworker/0:0-3233    [000] d.h1. 36819.062843: xhci_hub_status_data: port 2-3: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
     kworker/0:0-3233    [000] d.h1. 36819.062846: xhci_hub_status_data: port 2-4: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
     kworker/0:0-3233    [000] d.h1. 36819.062849: xhci_hub_status_data: port 2-5: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
     kworker/0:0-3233    [000] d.h1. 36819.062852: xhci_hub_status_data: port 2-6: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
     kworker/0:0-3233    [000] d.h1. 36819.062855: xhci_hub_status_data: port 2-7: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
     kworker/0:0-3233    [000] d.h1. 36819.062858: xhci_hub_status_data: port 2-8: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
     kworker/0:0-3233    [000] d.h1. 36819.062861: xhci_hub_status_data: port 2-9: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
     kworker/0:0-3233    [000] d.h1. 36819.062864: xhci_hub_status_data: port 2-10: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
     kworker/0:0-3233    [000] d.h1. 36819.062866: xhci_hub_status_data: port 2-11: 0x000002a0 Powered Not-connected Disabled Link:RxDetect PortSpeed:0 Change: Wake: 
